# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 977  of event 'cycles:u'
# Event count (approx.): 933124532
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.06%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_map_object_deps
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57929
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e632fc
     0.05%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002b206
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc03c3695
     0.05%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] ompi_hook_base_mpi_init_top_post_opal
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78876c6
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_find_by_path
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb79452bb
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb79447fb
     0.05%  async            libc-2.28.so                [.] 0x000000000000a883
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7e64965
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb79f716c
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee86
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_sscanf_on_off
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000013
     0.05%  oshrun           ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.05%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_fill_cq_common
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc03c58e6
     0.05%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_fgets
     0.05%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_mm_iface_recv_desc_init
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a0d483
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e68488
     0.05%  prterun          libc-2.28.so                [.] __rawmemchr_avx2
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7945248
     0.05%  prterun          libhwloc.so.5.7.6           [.] 0x00000000000095b0
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4f2ed
     0.05%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_no_init
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c37a1
     0.04%  oshm_get_mr.exe  libucm.so.0.0.0             [.] ucm_event_dispatch
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78d50f0
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc03c1875
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7b6f469
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e6569e
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78d366f
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e4de60
     0.04%  prterun          libhwloc.so.5.7.6           [.] 0x00000000000089e8
     0.04%  oshrun           ld-2.28.so                  [.] do_lookup_x
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78a5773
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e4de63
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7984b62
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78d50ec
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4de63
     0.04%  prterun          libc-2.28.so                [.] _IO_vfscanf
     0.04%  srun             libslurmfull.so             [.] _conf_hashtbl_index
     0.04%  srun             libc-2.28.so                [.] 0x00000000000219d0
     0.04%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_byte
     0.04%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] mca_base_var_generate_full_name4
     0.04%  prterun          libpmix.so.2.13.3           [.] pmix_preg_base_release
     0.03%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_add_component_resources
     0.03%  prterun          libevent_core-2.1.so.6.0.2  [.] event_add_nolock_
     0.03%  prterun          libc-2.28.so                [.] _IO_str_init_static_internal
     0.03%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbfc
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4e7da
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee9c
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7844af4
     0.03%  prterun          libc-2.28.so                [.] _IO_vsscanf
     0.03%  prterun          [unknown]                   [k] 0xffffffffb78c60f0
     0.02%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_dst_count
     0.02%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e51780
     0.02%  prterun          [unknown]                   [k] 0xffffffffb772596b
     0.02%  prterun          libc-2.28.so                [.] _IO_sputbackc
     0.02%  prterun          [unknown]                   [k] 0xffffffffb7945a47
     0.02%  prterun          [unknown]                   [k] 0xffffffffb7e5563c
     0.02%  prterun          [unknown]                   [k] 0xffffffffb78c614f
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78c4090
     0.01%  prterun          libc-2.28.so                [.] __GI___readdir64
     0.01%  prterun          [unknown]                   [k] 0xffffffffb797c1ea
     0.01%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_list_item_construct
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7944850
     0.01%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_map_object_from_fd
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78c5d00
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7984a50
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c6280
     0.01%  oshm_get_mr.exe  libnl-3.so.200.26.0         [.] nlmsg_next
     0.01%  prterun          libc-2.28.so                [.] __strcmp_avx2
     0.01%  srun             libslurmfull.so             [.] slurm_s_p_parse_file
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78c6110
     0.01%  srun             libc-2.28.so                [.] re_node_set_insert
     0.01%  prterun          [unknown]                   [k] 0xffffffffb797c1b8
     0.01%  oshrun           [unknown]                   [k] 0xffffffffb7e55127
