# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 984406205
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76041c6
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984b8f
     0.01%  prterun          [unknown]                   [k] 0xffffffffb77074b0
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78d50f0
     0.01%  oshm_get_mr.exe  libc-2.28.so                [.] 0x00000000000219d4
     0.01%  oshrun           ld-2.28.so                  [.] _dl_cache_libcmp
     0.01%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_map_object_from_fd
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78dc436
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7944764
     0.01%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_map_object
     0.01%  oshm_get_mr.exe  ld-2.28.so                  [.] strcmp
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb784fd9e
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a34110
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb788766e
     0.00%  prterun          [unknown]                   [k] 0xffffffffb772591d
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7835abb
     0.00%  prterun          [unknown]                   [k] 0xffffffffc0e61c5d
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e55127
     0.00%  prterun          libc-2.28.so                [.] __strchr_avx2
     0.00%  prterun          [unknown]                   [k] 0xffffffffb797c191
     0.00%  prterun          [unknown]                   [k] 0xffffffffb78c6110
     0.00%  prterun          [unknown]                   [k] 0xffffffffb772596a
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7e48b30
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78d4aea
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d50dc
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7976e13
     0.00%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_cache_libcmp
