# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 988  of event 'cycles:u'
# Event count (approx.): 955455892
#
# Overhead  Command          Shared Object               Symbol                                               
# ........  ...............  ..........................  .....................................................
#
     0.01%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000016b0c
     0.01%  oshrun           ld-2.28.so                  [.] check_match
     0.01%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_check_map_versions
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7a0d483
     0.01%  prterun          [unknown]                   [k] 0xffffffffb785526a
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78d50a7
     0.01%  oshrun           ld-2.28.so                  [.] do_lookup_x
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78c4a33
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb797c208
     0.01%  oshrun           ld-2.28.so                  [.] _dl_sort_maps
     0.01%  prterun          [unknown]                   [k] 0xffffffffb797c1e7
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7978cd6
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c3cc2
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7944850
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb785526f
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a5773
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a6dd1
     0.00%  srun             libc-2.28.so                [.] re_node_set_contains.isra.2
     0.00%  srun             libc-2.28.so                [.] __memmove_avx_unaligned
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78551f1
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7626b15
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c4960
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c3eff
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e55467
     0.00%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_map_object_from_fd
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c4fa5
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d4b36
     0.00%  oshrun           ld-2.28.so                  [.] _dl_load_cache_lookup
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7e68800
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb785f877
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0b0e4d5
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78229be
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a58bd
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7a34154
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7858e66
     0.00%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_debug_initialize
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb76682c1
     0.00%  oshrun           ld-2.28.so                  [.] _dl_cache_libcmp
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7887440
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78a578b
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc0e76c12
     0.00%  srun             libc-2.28.so                [.] _int_malloc
     0.00%  srun             libc-2.28.so                [.] __memmove_avx_unaligned_erms
     0.00%  srun             libnss_files-2.28.so        [.] internal_getent
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7e68827
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7855264
     0.00%  srun             libc-2.28.so                [.] __memchr_avx2
     0.00%  srun             libc-2.28.so                [.] check_node_accept
     0.00%  srun             ld-2.28.so                  [.] _dl_relocate_object
     0.00%  srun             libc-2.28.so                [.] __strcasecmp_avx
     0.00%  prterun          [unknown]                   [k] 0xffffffffb785021c
     0.00%  prterun          libpmix.so.2.13.3           [.] pmix_hash_store
     0.00%  prterun          [unknown]                   [k] 0xffffffffb78c613b
     0.00%  prterun          libevent_core-2.1.so.6.0.2  [.] event_del_nolock_
     0.00%  prterun          libpmix.so.2.13.3           [.] PMIx_Check_key
     0.00%  srun             [unknown]                   [k] 0xffffffffb7cd69b6
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000006d01
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e65cc5
     0.00%  srun             ld-2.28.so                  [.] _dl_fixup
     0.00%  srun             [unknown]                   [k] 0xffffffffb78ba98b
     0.00%  srun             ld-2.28.so                  [.] strchr
     0.00%  srun             libm-2.28.so                [.] __trunc_ifunc
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb785f846
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0e5b1f0
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_bfrops_base_unpack_kval
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_ptl_base_recv_handler
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc0cd8510
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc16ec7ef
     0.00%  prterun          libc-2.28.so                [.] __ctype_init
     0.00%  prterun          libpthread-2.28.so          [.] start_thread
     0.00%  prterun          libhwloc.so.5.7.6           [.] hwloc_linux_set_tid_cpubind
     0.00%  prterun          libc-2.28.so                [.] sched_setaffinity@@GLIBC_2.3.4
     0.00%  srun             [unknown]                   [k] 0xffffffffb8001130
     0.00%  prterun          libc-2.28.so                [.] cfree@GLIBC_2.2.5
     0.00%  srun             libc-2.28.so                [.] _IO_unsave_markers
     0.00%  srun             libc-2.28.so                [.] __resolv_conf_load
     0.00%  srun             libc-2.28.so                [.] __strncasecmp_l_avx
     0.00%  srun             [unknown]                   [k] 0xffffffffb7e476b1
     0.00%  srun             libslurmfull.so             [.] slurm_get_log_level
     0.00%  srun             [unknown]                   [k] 0xffffffffb766f880
     0.00%  srun             [unknown]                   [k] 0xffffffffb7a15db2
