# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 997  of event 'cycles:u'
# Event count (approx.): 974460696
#
# Overhead  Command          Shared Object            Symbol                                    
# ........  ...............  .......................  ..........................................
#
     0.05%  oshm_get_mr.exe  libc-2.28.so             [.] __GI___printf_fp_l
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_config_sscanf_time
     0.05%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb766813f
     0.05%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7900080
     0.05%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7978c9e
     0.05%  oshm_get_mr.exe  libucp.so.0.0.0          [.] ucp_wireup_is_reachable
     0.05%  prterun          [unknown]                [k] 0xffffffffb784fbbd
     0.05%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb766ed9d
     0.05%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb772596b
     0.05%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7823127
     0.05%  srun             libc-2.28.so             [.] __memchr_avx2
     0.05%  srun             libc-2.28.so             [.] __strcasecmp_l_avx
     0.05%  oshm_get_mr.exe  libocoms.so.0.0.0        [.] ocoms_mca_base_var_generate_full_name4
     0.05%  oshm_get_mr.exe  libc-2.28.so             [.] printf_positional
     0.05%  prterun          libhwloc.so.5.7.6        [.] 0x00000000000068be
     0.05%  oshm_get_mr.exe  libc-2.28.so             [.] __asprintf
     0.05%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e5186b
     0.05%  oshm_get_mr.exe  libucp.so.0.0.0          [.] ucp_proto_multi_probe
     0.05%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78186b0
     0.05%  oshrun           [unknown]                [k] 0xffffffffb797c19f
     0.05%  prterun          [unknown]                [k] 0xffffffffb7889479
     0.04%  oshm_get_mr.exe  libc-2.28.so             [.] 0x000000000000e3dc
     0.04%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7844b12
     0.04%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7850320
     0.04%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb79640ec
     0.04%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e4ee4f
     0.04%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7900159
