# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 912193742
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.05%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_setb
     0.05%  oshrun           mpirun                      [.] opal_util_keyval_yylex
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7944850
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a3efc
     0.05%  prterun          [unknown]                   [k] 0xffffffffb79452d3
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57927
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7e55127
     0.05%  prterun          libc-2.28.so                [.] malloc
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e5563c
     0.05%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] libnbc_register
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb784fb8d
     0.05%  oshm_get_mr.exe  libc-2.28.so                [.] __GI___printf_fp_l
     0.05%  prterun          [unknown]                   [k] 0xffffffffb78d50f0
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000155
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a5773
     0.05%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000009e24
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee8f
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb788748f
     0.05%  prterun          [unknown]                   [k] 0xffffffffb7887427
     0.05%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbfc
     0.04%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_gga_mlx5_query_tl_devices
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e43343
     0.04%  async            [unknown]                   [k] 0xffffffffb76041cf
     0.04%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_numa_num_configured_cpus
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78d5120
     0.04%  prterun          [unknown]                   [k] 0xffffffffb79452a9
